series_id,date,value
AAA10Y,01-03-2000 00:00,1.17
AAA10Y,01-04-2000 00:00,1.2
AAA10Y,01-05-2000 00:00,1.16
AAA10Y,01-06-2000 00:00,1.15
AAA10Y,01-07-2000 00:00,1.17
AAA10Y,01-10-2000 00:00,1.15
AAA10Y,01-11-2000 00:00,1.14
AAA10Y,01-12-2000 00:00,1.13
AAA10Y,01-13-2000 00:00:00,1.17
AAA10Y,01-14-2000 00:00:00,1.15
AAA10Y,01-17-2000 00:00:00,NULL
AAA10Y,01-18-2000 00:00:00,1.15
AAA10Y,01-19-2000 00:00:00,1.14
AAA10Y,01-20-2000 00:00:00,1.1
AAA10Y,01-21-2000 00:00:00,1.07
AAA10Y,01-24-2000 00:00:00,1.11
AAA10Y,01-25-2000 00:00:00,1.07
AAA10Y,01-26-2000 00:00:00,1.04
AAA10Y,01-27-2000 00:00:00,0.99
AAA10Y,01-28-2000 00:00:00,1.03
AAA10Y,01-31-2000 00:00:00,1.1
AAA10Y,02-01-2000 00:00,1.07
AAA10Y,02-02-2000 00:00,1.05
AAA10Y,02-03-2000 00:00,1.07
AAA10Y,02-04-2000 00:00,1.03
AAA10Y,02-07-2000 00:00,1.06
AAA10Y,02-08-2000 00:00,1
AAA10Y,02-09-2000 00:00,1.09
AAA10Y,02-10-2000 00:00,1.1
AAA10Y,02-11-2000 00:00,1.11
AAA10Y,02-14-2000 00:00:00,1.11
AAA10Y,02-15-2000 00:00:00,1.13
AAA10Y,02-16-2000 00:00:00,1.16
AAA10Y,02-17-2000 00:00:00,1.13
AAA10Y,02-18-2000 00:00:00,1.21
AAA10Y,02-21-2000 00:00:00,NULL
AAA10Y,02-22-2000 00:00:00,1.26
AAA10Y,02-23-2000 00:00:00,1.23
AAA10Y,02-24-2000 00:00:00,1.33
AAA10Y,02-25-2000 00:00:00,1.36
AAA10Y,02-28-2000 00:00:00,1.38
AAA10Y,02-29-2000 00:00:00,1.27
AAA10Y,03-01-2000 00:00,1.33
AAA10Y,03-02-2000 00:00,1.31
AAA10Y,03-03-2000 00:00,1.29
AAA10Y,03-06-2000 00:00,1.27
AAA10Y,03-07-2000 00:00,1.31
AAA10Y,03-08-2000 00:00,1.33
AAA10Y,03-09-2000 00:00,1.39
AAA10Y,03-10-2000 00:00,1.42
AAA10Y,03-13-2000 00:00:00,1.49
AAA10Y,03-14-2000 00:00:00,1.47
AAA10Y,03-15-2000 00:00:00,1.46
AAA10Y,03-16-2000 00:00:00,1.45
AAA10Y,03-17-2000 00:00:00,1.44
AAA10Y,03-20-2000 00:00:00,1.42
AAA10Y,03-21-2000 00:00:00,1.46
AAA10Y,03-22-2000 00:00:00,1.49
AAA10Y,03-23-2000 00:00:00,1.52
AAA10Y,03-24-2000 00:00:00,1.43
AAA10Y,03-27-2000 00:00:00,1.41
AAA10Y,03-28-2000 00:00:00,1.46
AAA10Y,03-29-2000 00:00:00,1.49
AAA10Y,03-30-2000 00:00:00,1.57
AAA10Y,03-31-2000 00:00:00,1.57
AAA10Y,04-03-2000 00:00,1.57
AAA10Y,04-04-2000 00:00,1.65
AAA10Y,04-05-2000 00:00,1.73
AAA10Y,04-06-2000 00:00,1.67
AAA10Y,04-07-2000 00:00,1.68
AAA10Y,04-10-2000 00:00,1.72
