series_id,name,frequency,units,seasonal_adjustment,Description
AAA10Y,Moodys Seasoned Aaa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity,Daily,Percent,Not Seasonally Adjusted,"Series is calculated as the spread between Moody's Seasoned Aaa Corporate Bond© (https://fred.stlouisfed.org/series/DAAA) and 10-Year Treasury Constant Maturity (BC_10YEARM).

©2017, Moody's Corporation, Moody's Investors Service, Inc., Moody's Analytics, Inc. and/or their licensors and affiliates (collectively, ""Moody's""). All rights reserved. Moody's ratings and other information (""Moody's Information"") are proprietary to Moody's and/or its licensors and are protected by copyright and other intellectual property laws. Moody's Information is licensed to Client by Moody's. MOODY'S INFORMATION MAY NOT BE COPIED OR OTHERWISE REPRODUCED, REPACKAGED, FURTHER TRANSMITTED, TRANSFERRED, DISSEMINATED, REDISTRIBUTED OR RESOLD, OR STORED FOR SUBSEQUENT USE FOR ANY SUCH PURPOSE, IN WHOLE OR IN PART, IN ANY FORM OR MANNER OR BY ANY MEANS WHATSOEVER, BY ANY PERSON WITHOUT MOODY'S PRIOR WRITTEN CONSENT.
Starting with the update on June 21, 2019, the Treasury bond data used in calculating interest rate spreads is obtained directly from the U.S. Treasury Department."
ASEANTOT,Import Price Index: ASEAN - All commodities,Monthly,Index Dec 2003=100,Not Seasonally Adjusted,"For more information, please see the Import/Export Price Indexes web site at https://www.bls.gov/mxp/"
BAA10Y,Moodys Seasoned Baa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity,Daily,Percent,Not Seasonally Adjusted,"Series is calculated as the spread between Moody's Seasoned Baa Corporate Bond© (https://fred.stlouisfed.org/series/DBAA) and 10-Year Treasury Constant Maturity (BC_10YEAR).

©2017, Moody's Corporation, Moody's Investors Service, Inc., Moody's Analytics, Inc. and/or their licensors and affiliates (collectively, ""Moody's""). All rights reserved. Moody's ratings and other information (""Moody's Information"") are proprietary to Moody's and/or its licensors and are protected by copyright and other intellectual property laws. Moody's Information is licensed to Client by Moody's. MOODY'S INFORMATION MAY NOT BE COPIED OR OTHERWISE REPRODUCED, REPACKAGED, FURTHER TRANSMITTED, TRANSFERRED, DISSEMINATED, REDISTRIBUTED OR RESOLD, OR STORED FOR SUBSEQUENT USE FOR ANY SUCH PURPOSE, IN WHOLE OR IN PART, IN ANY FORM OR MANNER OR BY ANY MEANS WHATSOEVER, BY ANY PERSON WITHOUT MOODY'S PRIOR WRITTEN CONSENT.
Starting with the update on June 21, 2019, the Treasury bond data used in calculating interest rate spreads is obtained directly from the U.S. Treasury Department."
BUSAPPWNSAUS,Business Applications for the United States,"Weekly, Ending Saturday",Number,Not Seasonally Adjusted,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations)."
BUSAPPWNSAUSYY,Business Applications for the United States,"Weekly, Ending Saturday",Percent Change from Year Ago,Not Seasonally Adjusted,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations)."
CBUSAPPWNSAUS,Business Applications from Corporations for the United States,"Weekly, Ending Saturday",Number,Not Seasonally Adjusted,Business Applications from Corporations (CBA): A subset of High-Propensity Business Applications (HBA) that contains all applications that come from a corporation or a personal service corporation.
CBUSAPPWNSAUSYY,Business Applications from Corporations for the United States,"Weekly, Ending Saturday",Percent Change from Year Ago,Not Seasonally Adjusted,Business Applications from Corporations (CBA): A subset of High-Propensity Business Applications (HBA) that contains all applications that come from a corporation or a personal service corporation.
CUUR0000SA0R,Consumer Price Index for All Urban Consumers: Purchasing Power of the Consumer Dollar in U.S. City Average,Monthly,Index 1982-1984=100,Not Seasonally Adjusted,N/A
DEXCHUS,China / U.S. Foreign Exchange Rate,Daily,Chinese Yuan to One U.S. Dollar,Not Seasonally Adjusted,Noon buying rates in New York City for cable transfers payable in foreign currencies.
DEXJPUS,Japan / U.S. Foreign Exchange Rate,Daily,Japanese Yen to One U.S. Dollar,Not Seasonally Adjusted,Noon buying rates in New York City for cable transfers payable in foreign currencies.
DEXUSEU,U.S. / Euro Foreign Exchange Rate,Daily,U.S. Dollars to One Euro,Not Seasonally Adjusted,Noon buying rates in New York City for cable transfers payable in foreign currencies.
DEXUSUK,U.S. / U.K. Foreign Exchange Rate,Daily,U.S. Dollars to One British Pound,Not Seasonally Adjusted,Noon buying rates in New York City for cable transfers payable in foreign currencies.
DFII10,"10-Year Treasury Inflation-Indexed Security, Constant Maturity",Daily,Percent,Not Seasonally Adjusted,"For further information regarding treasury constant maturity data, please refer to http://www.federalreserve.gov/releases/h15/current/h15.pdf and http://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/yieldmethod.aspx"
DFII20,"20-Year Treasury Inflation-Indexed Security, Constant Maturity",Daily,Percent,Not Seasonally Adjusted,"For further information regarding treasury constant maturity data, please refer to http://www.federalreserve.gov/releases/h15/current/h15.pdf and http://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/yieldmethod.aspx"
